id,team_id,date,total_points
1,1,2025-10-08,0
2,1,2025-10-09,0
3,1,2025-10-10,0
4,1,2025-10-11,2
5,1,2025-10-12,0
6,1,2025-10-13,1
7,1,2025-10-14,1
8,1,2025-10-15,0
9,1,2025-10-16,1
10,1,2025-10-17,0
11,1,2025-10-18,2
12,1,2025-10-19,1
13,1,2025-10-20,0
14,1,2025-10-21,0
15,1,2025-10-22,3
16,1,2025-10-23,1
17,1,2025-10-24,1
18,1,2025-10-25,3
19,1,2025-10-26,3
20,1,2025-10-27,0
21,1,2025-10-28,2
22,1,2025-10-29,3
23,1,2025-10-30,2
24,1,2025-10-31,0
25,1,2025-11-01,3
26,1,2025-11-02,2
27,1,2025-11-03,2
28,1,2025-11-04,0
29,1,2025-11-05,2
30,1,2025-11-06,0
31,2,2025-10-08,1
32,2,2025-10-09,1
33,2,2025-10-10,1
34,2,2025-10-11,2
35,2,2025-10-12,0
36,2,2025-10-13,3
37,2,2025-10-14,0
38,2,2025-10-15,0
39,2,2025-10-16,2
40,2,2025-10-17,1
41,2,2025-10-18,1
42,2,2025-10-19,1
43,2,2025-10-20,1
44,2,2025-10-21,0
45,2,2025-10-22,0
46,2,2025-10-23,2
47,2,2025-10-24,1
48,2,2025-10-25,1
49,2,2025-10-26,3
50,2,2025-10-27,4
51,2,2025-10-28,1
52,2,2025-10-29,0
53,2,2025-10-30,0
54,2,2025-10-31,1
55,2,2025-11-01,0
56,2,2025-11-02,0
57,2,2025-11-03,3
58,2,2025-11-04,1
59,2,2025-11-05,2
60,2,2025-11-06,2
61,3,2025-10-08,1
62,3,2025-10-09,1
63,3,2025-10-10,1
64,3,2025-10-11,2
65,3,2025-10-12,0
66,3,2025-10-13,0
67,3,2025-10-14,0
68,3,2025-10-15,1
69,3,2025-10-16,2
70,3,2025-10-17,0
71,3,2025-10-18,2
72,3,2025-10-19,0
73,3,2025-10-20,0
74,3,2025-10-21,4
75,3,2025-10-22,2
76,3,2025-10-23,3
77,3,2025-10-24,0
78,3,2025-10-25,3
79,3,2025-10-26,1
80,3,2025-10-27,1
81,3,2025-10-28,3
82,3,2025-10-29,2
83,3,2025-10-30,1
84,3,2025-10-31,1
85,3,2025-11-01,2
86,3,2025-11-02,2
87,3,2025-11-03,2
88,3,2025-11-04,1
89,3,2025-11-05,0
90,3,2025-11-06,3
91,4,2025-10-08,0
92,4,2025-10-09,1
93,4,2025-10-10,0
94,4,2025-10-11,0
95,4,2025-10-12,2
96,4,2025-10-13,0
97,4,2025-10-14,2
98,4,2025-10-15,1
99,4,2025-10-16,3
100,4,2025-10-17,2
101,4,2025-10-18,2
102,4,2025-10-19,0
103,4,2025-10-20,3
104,4,2025-10-21,2
105,4,2025-10-22,2
106,4,2025-10-23,0
107,4,2025-10-24,0
108,4,2025-10-25,0
109,4,2025-10-26,4
110,4,2025-10-27,1
111,4,2025-10-28,1
112,4,2025-10-29,0
113,4,2025-10-30,2
114,4,2025-10-31,2
115,4,2025-11-01,1
116,4,2025-11-02,1
117,4,2025-11-03,0
118,4,2025-11-04,0
119,4,2025-11-05,3
120,4,2025-11-06,2
121,5,2025-10-08,1
122,5,2025-10-09,1
123,5,2025-10-10,2
124,5,2025-10-11,2
125,5,2025-10-12,0
126,5,2025-10-13,2
127,5,2025-10-14,2
128,5,2025-10-15,0
129,5,2025-10-16,2
130,5,2025-10-17,2
131,5,2025-10-18,2
132,5,2025-10-19,2
133,5,2025-10-20,1
134,5,2025-10-21,1
135,5,2025-10-22,0
136,5,2025-10-23,0
137,5,2025-10-24,3
138,5,2025-10-25,2
139,5,2025-10-26,1
140,5,2025-10-27,2
141,5,2025-10-28,1
142,5,2025-10-29,2
143,5,2025-10-30,0
144,5,2025-10-31,2
145,5,2025-11-01,1
146,5,2025-11-02,0
147,5,2025-11-03,1
148,5,2025-11-04,0
149,5,2025-11-05,2
150,5,2025-11-06,2
151,6,2025-10-08,3
152,6,2025-10-09,1
153,6,2025-10-10,1
154,6,2025-10-11,0
155,6,2025-10-12,0
156,6,2025-10-13,2
157,6,2025-10-14,1
158,6,2025-10-15,3
159,6,2025-10-16,1
160,6,2025-10-17,2
161,6,2025-10-18,1
162,6,2025-10-19,2
163,6,2025-10-20,2
164,6,2025-10-21,0
165,6,2025-10-22,0
166,6,2025-10-23,0
167,6,2025-10-24,2
168,6,2025-10-25,1
169,6,2025-10-26,0
170,6,2025-10-27,2
171,6,2025-10-28,2
172,6,2025-10-29,1
173,6,2025-10-30,3
174,6,2025-10-31,0
175,6,2025-11-01,3
176,6,2025-11-02,1
177,6,2025-11-03,0
178,6,2025-11-04,1
179,6,2025-11-05,2
180,6,2025-11-06,3
181,7,2025-10-08,0
182,7,2025-10-09,1
183,7,2025-10-10,0
184,7,2025-10-11,2
185,7,2025-10-12,2
186,7,2025-10-13,2
187,7,2025-10-14,1
188,7,2025-10-15,0
189,7,2025-10-16,2
190,7,2025-10-17,2
191,7,2025-10-18,1
192,7,2025-10-19,2
193,7,2025-10-20,1
194,7,2025-10-21,2
195,7,2025-10-22,2
196,7,2025-10-23,0
197,7,2025-10-24,0
198,7,2025-10-25,1
199,7,2025-10-26,1
200,7,2025-10-27,3
201,7,2025-10-28,2
202,7,2025-10-29,1
203,7,2025-10-30,0
204,7,2025-10-31,4
205,7,2025-11-01,1
206,7,2025-11-02,0
207,7,2025-11-03,0
208,7,2025-11-04,2
209,7,2025-11-05,2
210,7,2025-11-06,0
211,8,2025-10-08,1
212,8,2025-10-09,0
213,8,2025-10-10,0
214,8,2025-10-11,1
215,8,2025-10-12,1
216,8,2025-10-13,1
217,8,2025-10-14,2
218,8,2025-10-15,1
219,8,2025-10-16,1
220,8,2025-10-17,2
221,8,2025-10-18,0
222,8,2025-10-19,1
223,8,2025-10-20,2
224,8,2025-10-21,1
225,8,2025-10-22,3
226,8,2025-10-23,0
227,8,2025-10-24,0
228,8,2025-10-25,1
229,8,2025-10-26,1
230,8,2025-10-27,1
231,8,2025-10-28,0
232,8,2025-10-29,2
233,8,2025-10-30,1
234,8,2025-10-31,1
235,8,2025-11-01,2
236,8,2025-11-02,1
237,8,2025-11-03,1
238,8,2025-11-04,1
239,8,2025-11-05,0
240,8,2025-11-06,1
241,9,2025-10-08,2
242,9,2025-10-09,2
243,9,2025-10-10,1
244,9,2025-10-11,1
245,9,2025-10-12,2
246,9,2025-10-13,2
247,9,2025-10-14,1
248,9,2025-10-15,1
249,9,2025-10-16,1
250,9,2025-10-17,2
251,9,2025-10-18,0
252,9,2025-10-19,1
253,9,2025-10-20,1
254,9,2025-10-21,2
255,9,2025-10-22,2
256,9,2025-10-23,1
257,9,2025-10-24,2
258,9,2025-10-25,2
259,9,2025-10-26,1
260,9,2025-10-27,0
261,9,2025-10-28,2
262,9,2025-10-29,0
263,9,2025-10-30,3
264,9,2025-10-31,0
265,9,2025-11-01,1
266,9,2025-11-02,2
267,9,2025-11-03,1
268,9,2025-11-04,0
269,9,2025-11-05,1
270,9,2025-11-06,2
271,10,2025-10-08,1
272,10,2025-10-09,1
273,10,2025-10-10,3
274,10,2025-10-11,1
275,10,2025-10-12,1
276,10,2025-10-13,1
277,10,2025-10-14,2
278,10,2025-10-15,2
279,10,2025-10-16,3
280,10,2025-10-17,2
281,10,2025-10-18,2
282,10,2025-10-19,1
283,10,2025-10-20,0
284,10,2025-10-21,2
285,10,2025-10-22,1
286,10,2025-10-23,2
287,10,2025-10-24,0
288,10,2025-10-25,1
289,10,2025-10-26,0
290,10,2025-10-27,0
291,10,2025-10-28,3
292,10,2025-10-29,2
293,10,2025-10-30,1
294,10,2025-10-31,1
295,10,2025-11-01,2
296,10,2025-11-02,2
297,10,2025-11-03,1
298,10,2025-11-04,2
299,10,2025-11-05,0
300,10,2025-11-06,1
